,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
35275,35275,2,4.0,17.01,2.0,230,132,4,-70.0,0.0,-0.5,0.0,0.0,-1.0,-74.75,-2.5,0.0,-0.75
35276,35276,2,4.0,17.01,2.0,230,132,4,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
36660,36660,1,1.0,16.6,2.0,230,132,1,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
37661,37661,2,3.0,17.72,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
37705,37705,2,2.0,16.97,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
37739,37739,2,2.0,17.61,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
38083,38083,1,1.0,17.0,2.0,230,132,1,70.0,3.25,0.5,18.7,0.0,1.0,93.45,2.5,0.0,0.75
39035,39035,2,4.0,18.69,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
39396,39396,2,4.0,16.72,2.0,230,132,1,70.0,0.0,0.5,12.0,6.94,1.0,93.69,2.5,0.0,0.75
39527,39527,2,3.0,17.93,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
39786,39786,2,2.0,17.16,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
39802,39802,2,3.0,17.93,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
39862,39862,1,2.0,18.2,2.0,230,132,1,70.0,3.25,0.5,16.3,6.94,1.0,97.99,2.5,0.0,0.75
39875,39875,2,4.0,16.85,2.0,230,132,1,70.0,0.0,0.5,4.0,6.94,1.0,85.69,2.5,0.0,0.75
40104,40104,2,1.0,15.85,5.0,230,132,4,-87.0,0.0,0.0,0.0,-6.94,-1.0,-98.19,-2.5,0.0,-0.75
40105,40105,2,1.0,15.85,5.0,230,132,4,87.0,0.0,0.0,0.0,6.94,1.0,98.19,2.5,0.0,0.75
40588,40588,2,2.0,16.52,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
42043,42043,2,2.0,17.68,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
43506,43506,2,2.0,18.0,2.0,230,132,1,70.0,0.0,0.5,8.0,6.94,1.0,89.69,2.5,0.0,0.75
43601,43601,2,2.0,18.36,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
44147,44147,2,2.0,17.77,2.0,230,132,1,70.0,0.0,0.5,18.0,6.94,1.0,99.69,2.5,0.0,0.75
45347,45347,2,2.0,16.77,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
45581,45581,2,1.0,18.38,2.0,230,132,1,70.0,0.0,0.5,18.69,0.0,1.0,93.44,2.5,0.0,0.75
49807,49807,2,2.0,17.89,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
50715,50715,2,2.0,17.54,2.0,230,132,1,70.0,0.0,0.5,10.0,0.0,1.0,84.75,2.5,0.0,0.75
52284,52284,2,3.0,17.67,2.0,230,132,1,70.0,0.0,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
54963,54963,2,1.0,18.34,2.0,230,132,2,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
56540,56540,1,1.0,17.1,2.0,230,132,1,70.0,3.25,0.5,5.0,6.94,1.0,86.69,2.5,0.0,0.75
65342,65342,2,1.0,17.4,5.0,230,132,2,88.0,0.0,0.0,0.0,0.0,1.0,92.25,2.5,0.0,0.75
72232,72232,2,1.0,17.02,2.0,230,132,1,70.0,0.0,0.5,12.25,6.94,1.0,93.94,2.5,0.0,0.75
72300,72300,1,1.0,16.6,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
72511,72511,2,3.0,17.2,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
72617,72617,1,0.0,16.8,2.0,230,132,1,70.0,3.25,0.5,16.3,6.94,1.0,97.99,2.5,0.0,0.75
72958,72958,2,1.0,16.86,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
73126,73126,2,2.0,16.92,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
73185,73185,1,0.0,16.8,2.0,230,132,1,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
74202,74202,2,3.0,18.21,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
74531,74531,2,1.0,16.12,5.0,230,132,1,100.0,0.0,0.0,22.24,6.94,1.0,133.43,2.5,0.0,0.75
75866,75866,2,1.0,17.38,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
77146,77146,1,1.0,17.3,2.0,230,132,1,70.0,3.25,0.5,20.4,6.94,1.0,102.09,2.5,0.0,0.75
77524,77524,2,2.0,18.15,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
79107,79107,2,2.0,18.77,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
80367,80367,1,1.0,17.2,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
81025,81025,2,1.0,17.96,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
81423,81423,2,1.0,16.63,2.0,230,132,4,-70.0,0.0,-0.5,0.0,0.0,-1.0,-74.75,-2.5,0.0,-0.75
81424,81424,2,1.0,16.63,2.0,230,132,4,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
81950,81950,2,2.0,17.04,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
83450,83450,2,1.0,17.19,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
89163,89163,2,3.0,17.58,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
89526,89526,2,1.0,17.4,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
89687,89687,2,3.0,18.6,2.0,230,132,1,70.0,0.0,0.5,20.42,6.94,1.0,102.11,2.5,0.0,0.75
92098,92098,1,1.0,17.2,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
93706,93706,2,2.0,17.49,2.0,230,132,1,70.0,0.0,0.5,40.0,6.94,1.0,121.69,2.5,0.0,0.75
93822,93822,1,1.0,18.4,2.0,230,132,1,70.0,3.25,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
95017,95017,2,2.0,18.11,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
95628,95628,2,2.0,16.72,2.0,230,132,1,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
96030,96030,2,2.0,17.12,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
